acronyme,nom,prenom,sexe,mdp,statut,mail,telephone,GSM,adresse,commune,codePostal,pays,titre
PIR,Gaudreault, Maurice,M,,,,,,,,,BE,
RAV,Gaulin, Jeannette,F,,,,,,,,,BE,
REN,Gauthier, Guy,M,,,,,,,,,BE,
ROG,Gazaille, Francine,M,,,,,,,,,BE,
ROS,Gelinas-Diamond, Cecile,F,,,,,,,,,BE,
SAM,Gendreau, Marius,M,,,,,,,,,BE,
SCN,Gendron, Pierre,M,,,,,,,,,BE,
SCO,Gingras, Raynald,F,,,,,,,,,BE,
AMS,Girard, Marie-Ange,F,,,,,,,,,BE,
STE,Giroux, Andre,F,,,,,,,,,BE,
TAH,Godbout, Ghislaine,M,,,,,,,,,BE,
TIB,Goulet, Guy,M,,,,,,,,,BE,
TIG,Grenier, Gertrude,M,,,,,,,,,BE,
VAR,Hadaya, Joelle,M,,,,,,,,,BE,
VCA,Hammond, Edith,M,,,,,,,,,BE,
VDB,Houle, Daniel,M,,,,,,,,,BE,
VDG,Joyal, Jean,F,,,,,,,,,BE,
VHA,Kott, Olivier,F,,,,,,,,,BE,
VHR,Laberge, Jean-Francois,F,,,,,,,,,BE,
VHO,Lacasse, Jean-Francois,M,,,,,,,,,BE,
VLO,Lachapelle, Berthe,F,,,,,,,,,BE,
AVW,Lachapelle, Therese,F,,,,,,,,,BE,
VWE,Lacombe, Regent,F,,,,,,,,,BE,
ADM,ADMINISTRATEUR,Administrateur,M,e10adc3949ba59abbe56e057f20f883e,user,admin@zeusEdu.org,,,,,,,
